No;Provinsi;Tahun;UMP(X1);TPT(X2);%Miskin(Y)
1;ACEH;2018;2.700.000;6,34;15,68
2;SUMATERA UTARA;2018;2.132.189;5,55;8,94
3;SUMATERA BARAT;2018;2.119.067;5,66;6,55
4;RIAU;2018;2.464.154;5,98;7,21
5;JAMBI;2018;2.243.719;3,73;7,85
6;SUMATERA SELATAN;2018;2.595.995;4,27;12,82
7;BENGKULU;2018;1.888.741;3,35;15,41
8;LAMPUNG;2018;2.074.673;4,04;13,01
9;KEP. BANGKA BELITUNG;2018;2.755.444;3,61;4,77
10;KEP. RIAU;2018;2.563.875;8,04;5,83
11;DKI JAKARTA;2018;3.648.036;6,65;3,55
12;JAWA BARAT;2018;1.544.361;8,23;7,25
13;JAWA TENGAH;2018;1.486.065;4,47;11,19
14;DI YOGYAKARTA;2018;1.454.154;3,37;11,81
15;JAWA TIMUR;2018;1.508.895;3,91;10,85
16;BANTEN;2018;2.099.385;8,47;5,25
17;BALI;2018;2.127.157;1,4;3,91
18;NUSA TENGGARA BARAT;2018;1.825.000;3,58;14,63
19;NUSA TENGGARA TIMUR;2018;1.660.000;2,85;21,03
20;KALIMANTAN BARAT;2018;2.046.900;4,18;7,37
21;KALIMANTAN TENGAH;2018;2.421.305;3,91;5,1
22;KALIMANTAN SELATAN;2018;2.454.671;4,35;4,65
23;KALIMANTAN TIMUR;2018;2.543.332;6,41;6,06
24;KALIMANTAN UTARA;2018;2.559.903;5,11;6,86
25;SULAWESI UTARA;2018;2.824.286;6,61;7,59
26;SULAWESI TENGAH;2018;1.965.232;3,37;13,69
27;SULAWESI SELATAN;2018;2.647.767;4,94;8,87
28;SULAWESI TENGGARA;2018;2.177.052;3,19;11,32
29;GORONTALO;2018;2.206.813;3,7;15,83
30;SULAWESI BARAT;2018;2.193.530;3,01;11,22
31;MALUKU;2018;2.222.220;6,95;17,85
32;MALUKU UTARA;2018;2.320.803;4,63;6,62
33;PAPUA BARAT;2018;2.667.000;6,45;22,66
34;PAPUA;2018;3.000.000;3;27,43
35;ACEH;2019;2.916.810;6,17;15,01
36;SUMATERA UTARA;2019;2.303.403;5,39;8,63
37;SUMATERA BARAT;2019;2.289.220;5,38;6,29
38;RIAU;2019;2.662.026;5,76;6,9
39;JAMBI;2019;2.423.889;4,06;7,51
40;SUMATERA SELATAN;2019;2.804.453;4,53;12,56
41;BENGKULU;2019;2.040.407;3,26;14,91
42;LAMPUNG;2019;2.241.270;4,03;12,3
43;KEP. BANGKA BELITUNG;2019;2.976.706;3,58;4,5
44;KEP. RIAU;2019;2.769.754;7,5;5,8
45;DKI JAKARTA;2019;3.940.973;6,54;3,42
46;JAWA BARAT;2019;1.668.373;8,04;6,82
47;JAWA TENGAH;2019;1.605.396;4,44;10,58
48;DI YOGYAKARTA;2019;1.570.923;3,18;11,44
49;JAWA TIMUR;2019;1.630.059;3,82;10,2
50;BANTEN;2019;2.267.990;8,11;4,94
51;BALI;2019;2.297.969;1,57;3,61
52;NUSA TENGGARA BARAT;2019;2.012.610;3,28;13,88
53;NUSA TENGGARA TIMUR;2019;1.795.000;3,14;20,62
54;KALIMANTAN BARAT;2019;2.211.500;4,35;7,28
55;KALIMANTAN TENGAH;2019;2.663.435;4,04;4,81
56;KALIMANTAN SELATAN;2019;2.651.782;4,18;4,47
57;KALIMANTAN TIMUR;2019;2.747.561;5,94;5,91
58;KALIMANTAN UTARA;2019;2.765.463;4,49;6,49
59;SULAWESI UTARA;2019;3.051.076;6,01;7,51
60;SULAWESI TENGAH;2019;2.123.040;3,11;13,18
61;SULAWESI SELATAN;2019;2.860.382;4,62;8,56
62;SULAWESI TENGGARA;2019;2.351.870;3,52;11,04
63;GORONTALO;2019;2.384.020;3,76;15,31
64;SULAWESI BARAT;2019;2.381.000;2,98;10,95
65;MALUKU;2019;2.400.664;6,69;17,65
66;MALUKU UTARA;2019;2.508.091;4,81;6,91
67;PAPUA BARAT;2019;2.934.500;6,43;21,51
68;PAPUA;2019;3.240.900;3,51;26,55
69;ACEH;2020;3.165.031;6,59;15,43
70;SUMATERA UTARA;2020;2.499.423;6,91;9,14
71;SUMATERA BARAT;2020;2.484.041;6,88;6,56
72;RIAU;2020;2.888.564;6,32;7,04
73;JAMBI;2020;2.630.162;5,13;7,97
74;SUMATERA SELATAN;2020;3.043.111;5,51;12,98
75;BENGKULU;2020;2.213.604;4,07;15,3
76;LAMPUNG;2020;2.432.002;4,67;12,76
77;KEP. BANGKA BELITUNG;2020;3.230.024;5,25;4,89
78;KEP. RIAU;2020;3.005.460;10,34;6,13
79;DKI JAKARTA;2020;4.276.350;10,95;4,69
80;JAWA BARAT;2020;1.810.351;10,46;8,43
81;JAWA TENGAH;2020;1.742.015;6,48;11,84
82;DI YOGYAKARTA;2020;1.704.608;4,57;12,8
83;JAWA TIMUR;2020;1.768.777;5,84;11,46
84;BANTEN;2020;2.460.997;10,64;6,63
85;BALI;2020;2.494.000;5,63;4,45
86;NUSA TENGGARA BARAT;2020;2.183.883;4,22;14,23
87;NUSA TENGGARA TIMUR;2020;1.950.000;4,28;21,21
88;KALIMANTAN BARAT;2020;2.399.699;5,81;7,24
89;KALIMANTAN TENGAH;2020;2.903.145;4,58;5,26
90;KALIMANTAN SELATAN;2020;2.877.449;4,74;4,83
91;KALIMANTAN TIMUR;2020;2.981.379;6,87;6,64
92;KALIMANTAN UTARA;2020;3.000.804;4,97;7,41
93;SULAWESI UTARA;2020;3.310.723;7,37;7,78
94;SULAWESI TENGAH;2020;2.303.711;3,77;13,06
95;SULAWESI SELATAN;2020;3.103.800;6,31;8,99
96;SULAWESI TENGGARA;2020;2.552.015;4,58;11,69
97;GORONTALO;2020;2.788.826;4,28;15,59
98;SULAWESI BARAT;2020;2.678.863;3,32;11,5
99;MALUKU;2020;2.604.961;7,57;17,99
100;MALUKU UTARA;2020;2.721.530;5,15;6,97
101;PAPUA BARAT;2020;3.134.600;6,8;21,7
102;PAPUA;2020;3.516.700;4,28;26,8
